EmpId,Satisfaction,Evaluation,number_of_projects,average_montly_hours,time_spent_company,work_accident,Promotion,Department,Salary_INR,Churn,Employee_Satisfaction,Performance_Rating,Company_Tenure,Annual_Salary,Overtime_Hours,Attrition,Age,Training_Hours,Absenteeism_Days,Salary_Per_Experience,Overtime_Intensity,Engagement_Index,Performance_Index,Cluster,Segment
780152,3.8,5.300000000000002,2,157,3,0,0,Sales,11053,1,3.8,5.300000000000002,3,11053,157,1,28,10,1.9625,2763.25,0.98125,0.31868131868131866,0.2656250000000002,1,Emerging Talent
780153,8.0,8.6,5,262,6,0,0,Sales,54063,1,8.0,8.6,6,54063,262,1,31,25,3.275,7723.285714285715,1.6375,0.7802197802197802,0.78125,3,Needs Improvement
780154,1.1,8.8,7,272,4,0,0,Sales,61300,1,1.1,8.8,4,61300,272,1,29,35,3.4,12260.0,1.7,0.021978021978021997,0.8125000000000001,3,Needs Improvement
780155,7.199999999999998,8.7,5,223,5,0,0,Sales,20647,1,7.199999999999998,8.7,5,20647,223,1,30,25,2.7875,3441.1666666666665,1.39375,0.6923076923076922,0.7968749999999999,3,Needs Improvement
780156,3.7,5.2,2,159,3,0,0,Sales,17808,1,3.7,5.2,3,17808,159,1,28,10,1.9875,4452.0,0.99375,0.3076923076923077,0.25,1,Emerging Talent
780157,4.1,5.0,2,153,3,0,0,Sales,38805,1,4.1,5.0,3,38805,153,1,28,10,1.9125,9701.25,0.95625,0.3516483516483516,0.21874999999999997,1,Emerging Talent
780158,1.0,7.7,6,247,4,0,0,Sales,32471,1,1.0,7.7,4,32471,247,1,29,30,3.0875,6494.2,1.54375,0.010989010989010999,0.6406249999999999,3,Needs Improvement
780159,9.2,8.5,5,259,5,0,0,Sales,32472,1,9.2,8.5,5,32472,259,1,30,25,3.2375,5412.0,1.61875,0.912087912087912,0.765625,3,Needs Improvement
780160,8.9,10.0,5,224,5,0,0,Sales,36981,1,8.9,10.0,5,36981,224,1,30,25,2.8,6163.5,1.4,0.8791208791208791,1.0,3,Needs Improvement
780161,4.2,5.300000000000002,2,142,3,0,0,Sales,10026,1,4.2,5.300000000000002,3,10026,142,1,28,10,1.775,2506.5,0.8875,0.3626373626373627,0.2656250000000002,1,Emerging Talent
780162,4.5,5.4,2,135,3,0,0,Sales,36961,1,4.5,5.4,3,36961,135,1,28,10,1.6875,9240.25,0.84375,0.39560439560439564,0.28125,1,Emerging Talent
780163,1.1,8.100000000000001,6,305,4,0,0,Sales,24593,1,1.1,8.100000000000001,4,24593,305,1,29,30,3.8125,4918.6,1.90625,0.021978021978021997,0.7031250000000002,3,Needs Improvement
780164,8.4,9.2,4,234,5,0,0,Sales,33366,1,8.4,9.2,5,33366,234,1,30,20,2.925,5561.0,1.4625,0.8241758241758242,0.8749999999999999,3,Needs Improvement
780165,4.1,5.5,2,148,3,0,0,Sales,29057,1,4.1,5.5,3,29057,148,1,28,10,1.85,7264.25,0.925,0.3516483516483516,0.29687499999999994,1,Emerging Talent
780166,3.6,5.6000000000000005,2,137,3,0,0,Sales,10212,1,3.6,5.6000000000000005,3,10212,137,1,28,10,1.7125,2553.0,0.85625,0.29670329670329676,0.31250000000000006,1,Emerging Talent
780167,3.8,5.4,2,143,3,0,0,Sales,39871,1,3.8,5.4,3,39871,143,1,28,10,1.7875,9967.75,0.89375,0.31868131868131866,0.28125,1,Emerging Talent
780168,4.5,4.699999999999998,2,160,3,0,0,Sales,38712,1,4.5,4.699999999999998,3,38712,160,1,28,10,2.0,9678.0,1.0,0.39560439560439564,0.17187499999999972,1,Emerging Talent
780169,7.800000000000002,9.9,4,255,6,0,0,Sales,33816,1,7.800000000000002,9.9,6,33816,255,1,31,20,3.1875,4830.857142857143,1.59375,0.7582417582417585,0.9843750000000001,3,Needs Improvement
780170,4.5,5.1,2,160,3,1,1,Sales,38943,1,4.5,5.1,3,38943,160,1,28,10,2.0,9735.75,1.0,0.39560439560439564,0.23437499999999992,1,Emerging Talent
780171,7.6,8.9,5,262,5,0,0,Sales,12361,1,7.6,8.9,5,12361,262,1,30,25,3.275,2060.1666666666665,1.6375,0.7362637362637362,0.8281250000000001,3,Needs Improvement
780172,1.1,8.299999999999999,6,282,4,0,0,Sales,19083,1,1.1,8.299999999999999,4,19083,282,1,29,30,3.525,3816.6,1.7625,0.021978021978021997,0.7343749999999999,3,Needs Improvement
780173,3.8,5.5,2,147,3,0,0,Sales,21526,1,3.8,5.5,3,21526,147,1,28,10,1.8375,5381.5,0.91875,0.31868131868131866,0.29687499999999994,1,Emerging Talent
780174,0.8999999999999999,9.5,6,304,4,0,0,Sales,30876,1,0.8999999999999999,9.5,4,30876,304,1,29,30,3.8,6175.2,1.9,0.0,0.921875,3,Needs Improvement
780175,4.6000000000000005,5.699999999999998,2,139,3,0,0,Sales,12550,1,4.6000000000000005,5.699999999999998,3,12550,139,1,28,10,1.7375,3137.5,0.86875,0.4065934065934067,0.3281249999999997,1,Emerging Talent
780176,4.0,5.300000000000002,2,158,3,0,0,Sales,20733,1,4.0,5.300000000000002,3,20733,158,1,28,10,1.975,5183.25,0.9875,0.34065934065934067,0.2656250000000002,1,Emerging Talent
780177,8.9,9.2,5,242,5,0,0,Sales,11779,1,8.9,9.2,5,11779,242,1,30,25,3.025,1963.1666666666667,1.5125,0.8791208791208791,0.8749999999999999,3,Needs Improvement
780178,8.2,8.7,4,239,5,0,0,Sales,14147,1,8.2,8.7,5,14147,239,1,30,20,2.9875,2357.8333333333335,1.49375,0.8021978021978021,0.7968749999999999,3,Needs Improvement
780179,4.0,4.9,2,135,3,0,0,Sales,38072,1,4.0,4.9,3,38072,135,1,28,10,1.6875,9518.0,0.84375,0.34065934065934067,0.20312500000000003,1,Emerging Talent
780180,4.1,4.6000000000000005,2,128,3,0,0,Accounting,18282,1,4.1,4.6000000000000005,3,18282,128,1,28,10,1.6,4570.5,0.8,0.3516483516483516,0.15625000000000006,1,Emerging Talent
780181,3.8,5.0,2,132,3,0,0,Accounting,35647,1,3.8,5.0,3,35647,132,1,28,10,1.65,8911.75,0.825,0.31868131868131866,0.21874999999999997,1,Emerging Talent
780182,0.8999999999999999,6.2,6,294,4,0,0,Accounting,28747,1,0.8999999999999999,6.2,4,28747,294,1,29,30,3.675,5749.4,1.8375,0.0,0.40625,3,Needs Improvement
780183,4.5,5.699999999999998,2,134,3,0,0,Human Resources,33321,1,4.5,5.699999999999998,3,33321,134,1,28,10,1.675,8330.25,0.8375,0.39560439560439564,0.3281249999999997,1,Emerging Talent
780184,4.0,5.1,2,145,3,0,0,Human Resources,21890,1,4.0,5.1,3,21890,145,1,28,10,1.8125,5472.5,0.90625,0.34065934065934067,0.23437499999999992,1,Emerging Talent
780185,4.5,5.5,2,140,3,0,0,Human Resources,38614,1,4.5,5.5,3,38614,140,1,28,10,1.75,9653.5,0.875,0.39560439560439564,0.29687499999999994,1,Emerging Talent
780186,8.4,8.7,4,246,6,0,0,Human Resources,22718,1,8.4,8.7,6,22718,246,1,31,20,3.075,3245.4285714285716,1.5375,0.8241758241758242,0.7968749999999999,3,Needs Improvement
780187,1.0,9.4,6,255,4,0,0,Technical,24753,1,1.0,9.4,4,24753,255,1,29,30,3.1875,4950.6,1.59375,0.010989010989010999,0.9062500000000001,3,Needs Improvement
780188,3.8,4.6000000000000005,2,137,3,0,0,Technical,14691,1,3.8,4.6000000000000005,3,14691,137,1,28,10,1.7125,3672.75,0.85625,0.31868131868131866,0.15625000000000006,1,Emerging Talent
780189,4.5,5.0,2,126,3,0,0,Technical,37363,1,4.5,5.0,3,37363,126,1,28,10,1.575,9340.75,0.7875,0.39560439560439564,0.21874999999999997,1,Emerging Talent
780190,1.1,8.9,6,306,4,0,0,Technical,22342,1,1.1,8.9,4,22342,306,1,29,30,3.825,4468.4,1.9125,0.021978021978021997,0.8281250000000001,3,Needs Improvement
780191,4.1,5.4,2,152,3,0,0,Technical,33430,1,4.1,5.4,3,33430,152,1,28,10,1.9,8357.5,0.95,0.3516483516483516,0.28125,1,Emerging Talent
780192,8.7,8.8,5,269,5,0,0,Technical,37562,1,8.7,8.8,5,37562,269,1,30,25,3.3625,6260.333333333333,1.68125,0.8571428571428571,0.8125000000000001,3,Needs Improvement
780193,4.5,4.8,2,158,3,0,0,Technical,30870,1,4.5,4.8,3,30870,158,1,28,10,1.975,7717.5,0.9875,0.39560439560439564,0.18749999999999994,1,Emerging Talent
780194,4.0,4.6000000000000005,2,127,3,0,0,Technical,37253,1,4.0,4.6000000000000005,3,37253,127,1,28,10,1.5875,9313.25,0.79375,0.34065934065934067,0.15625000000000006,1,Emerging Talent
780195,1.0,8.0,7,281,4,0,0,Technical,33135,1,1.0,8.0,4,33135,281,1,29,35,3.5125,6627.0,1.75625,0.010989010989010999,0.6875,3,Needs Improvement
780196,0.8999999999999999,8.9,6,276,4,0,0,Technical,39291,1,0.8999999999999999,8.9,4,39291,276,1,29,30,3.45,7858.2,1.725,0.0,0.8281250000000001,3,Needs Improvement
780197,8.4,7.4,3,182,4,0,0,Technical,22599,1,8.4,7.4,4,22599,182,1,29,15,2.275,4519.8,1.1375,0.8241758241758242,0.59375,1,Emerging Talent
780198,4.0,5.5,2,147,3,0,0,Support,30618,1,4.0,5.5,3,30618,147,1,28,10,1.8375,7654.5,0.91875,0.34065934065934067,0.29687499999999994,1,Emerging Talent
780199,5.699999999999998,7.0,3,273,6,0,0,Support,38479,1,5.699999999999998,7.0,6,38479,273,1,31,15,3.4125,5497.0,1.70625,0.5274725274725274,0.53125,3,Needs Improvement
780200,4.0,5.4,2,148,3,0,0,Support,18120,1,4.0,5.4,3,18120,148,1,28,10,1.85,4530.0,0.925,0.34065934065934067,0.28125,1,Emerging Talent
780201,4.3,4.699999999999998,2,147,3,0,0,Support,24602,1,4.3,4.699999999999998,3,24602,147,1,28,10,1.8375,6150.5,0.91875,0.37362637362637363,0.17187499999999972,1,Emerging Talent
780202,1.3,7.800000000000002,6,152,2,0,0,Support,10009,1,1.3,7.800000000000002,2,10009,152,1,27,30,1.9,3336.3333333333335,0.95,0.04395604395604397,0.6562500000000001,1,Emerging Talent
780203,4.4,5.5,2,135,3,0,0,Support,24362,1,4.4,5.5,3,24362,135,1,28,10,1.6875,6090.5,0.84375,0.3846153846153847,0.29687499999999994,1,Emerging Talent
780204,3.8,5.5,2,134,3,0,0,Support,11036,1,3.8,5.5,3,11036,134,1,28,10,1.675,2759.0,0.8375,0.31868131868131866,0.29687499999999994,1,Emerging Talent
780205,3.9,5.4,2,132,3,0,0,Support,21703,1,3.9,5.4,3,21703,132,1,28,10,1.65,5425.75,0.825,0.32967032967032966,0.28125,1,Emerging Talent
780206,1.0,9.2,7,307,4,0,0,Support,16620,1,1.0,9.2,4,16620,307,1,29,35,3.8375,3324.0,1.91875,0.010989010989010999,0.8749999999999999,3,Needs Improvement
780207,3.7,4.6000000000000005,2,140,3,0,0,Support,22168,1,3.7,4.6000000000000005,3,22168,140,1,28,10,1.75,5542.0,0.875,0.3076923076923077,0.15625000000000006,1,Emerging Talent
780208,1.1,9.4,7,255,4,0,0,Support,16764,1,1.1,9.4,4,16764,255,1,29,35,3.1875,3352.8,1.59375,0.021978021978021997,0.9062500000000001,3,Needs Improvement
780209,1.0,8.100000000000001,6,309,4,0,0,Technical,23750,1,1.0,8.100000000000001,4,23750,309,1,29,30,3.8625,4750.0,1.93125,0.010989010989010999,0.7031250000000002,3,Needs Improvement
780210,3.8,5.4,2,128,3,0,0,Technical,12583,1,3.8,5.4,3,12583,128,1,28,10,1.6,3145.75,0.8,0.31868131868131866,0.28125,1,Emerging Talent
780211,8.5,10.0,4,225,5,0,0,Technical,10110,1,8.5,10.0,5,10110,225,1,30,20,2.8125,1685.0,1.40625,0.8351648351648352,1.0,3,Needs Improvement
780212,8.5,9.1,5,226,5,0,0,Management,74023,1,8.5,9.1,5,74023,226,1,30,25,2.825,12337.166666666666,1.4125,0.8351648351648352,0.859375,3,Needs Improvement
780213,1.1,9.3,7,308,4,0,0,Information Technology,87983,1,1.1,9.3,4,87983,308,1,29,35,3.85,17596.6,1.925,0.021978021978021997,0.8906250000000001,3,Needs Improvement
780214,1.0,9.5,6,244,5,0,0,Information Technology,93436,1,1.0,9.5,5,93436,244,1,30,30,3.05,15572.666666666666,1.525,0.010989010989010999,0.921875,3,Needs Improvement
780215,3.6,5.6000000000000005,2,132,3,0,0,Information Technology,63971,1,3.6,5.6000000000000005,3,63971,132,1,28,10,1.65,15992.75,0.825,0.29670329670329676,0.31250000000000006,1,Emerging Talent
780216,1.1,9.4,6,286,4,0,0,Information Technology,97797,1,1.1,9.4,4,97797,286,1,29,30,3.575,19559.4,1.7875,0.021978021978021997,0.9062500000000001,3,Needs Improvement
780217,8.100000000000001,7.0,6,161,4,0,0,Information Technology,43594,1,8.100000000000001,7.0,4,43594,161,1,29,30,2.0125,8718.8,1.00625,0.7912087912087914,0.53125,3,Needs Improvement
780218,4.3,5.4,2,153,3,0,0,Product_Mng,59898,1,4.3,5.4,3,59898,153,1,28,10,1.9125,14974.5,0.95625,0.37362637362637363,0.28125,1,Emerging Talent
780219,9.0,9.8,4,264,6,0,0,Product_Mng,70155,1,9.0,9.8,6,70155,264,1,31,20,3.3,10022.142857142857,1.65,0.8901098901098901,0.9687500000000001,3,Needs Improvement
